currency,code,value,date
euro,EUR,4.6985,2022-11-15
forint (Węgry),HUF,0.011582,2022-11-15
frank szwajcarski,CHF,4.8059,2022-11-15
funt szterling,GBP,5.3404,2022-11-15
hrywna (Ukraina),UAH,0.1258,2022-11-15
jen (Japonia),JPY,0.03241,2022-11-15
korona czeska,CZK,0.1933,2022-11-15
korona duńska,DKK,0.6316,2022-11-15
korona islandzka,ISK,0.031137,2022-11-15
korona norweska,NOK,0.4535,2022-11-15
korona szwedzka,SEK,0.4346,2022-11-15
kuna (Chorwacja),HRK,0.6225,2022-11-15
lej rumuński,RON,0.9579,2022-11-15
lew (Bułgaria),BGN,2.4023,2022-11-15
lira turecka,TRY,0.2427,2022-11-15
nowy izraelski szekel,ILS,1.3176,2022-11-15
peso chilijskie,CLP,0.005068,2022-11-15
peso filipińskie,PHP,0.079,2022-11-15
peso meksykańskie,MXN,0.2332,2022-11-15
rand (Republika Południowej Afryki),ZAR,0.2627,2022-11-15
real (Brazylia),BRL,0.847,2022-11-15
ringgit (Malezja),MYR,0.9955,2022-11-15
rupia indonezyjska,IDR,0.00029071,2022-11-15
rupia indyjska,INR,0.055694,2022-11-15
won południowokoreański,KRW,0.003439,2022-11-15
yuan renminbi (Chiny),CNY,0.6416,2022-11-15
SDR (MFW),XDR,5.9587,2022-11-15
bat (Tajlandia),THB,0.1263,2022-11-16
dolar amerykański,USD,4.505,2022-11-16
dolar australijski,AUD,3.0546,2022-11-16
dolar Hongkongu,HKD,0.576,2022-11-16
dolar kanadyjski,CAD,3.4022,2022-11-16
dolar nowozelandzki,NZD,2.787,2022-11-16
dolar singapurski,SGD,3.293,2022-11-16
euro,EUR,4.6942,2022-11-16
forint (Węgry),HUF,0.011525,2022-11-16
frank szwajcarski,CHF,4.7888,2022-11-16
funt szterling,GBP,5.3593,2022-11-16
hrywna (Ukraina),UAH,0.1258,2022-11-16
jen (Japonia),JPY,0.032319,2022-11-16
korona czeska,CZK,0.1929,2022-11-16
korona duńska,DKK,0.6311,2022-11-16
korona islandzka,ISK,0.031611,2022-11-16
korona norweska,NOK,0.4534,2022-11-16
korona szwedzka,SEK,0.4321,2022-11-16
kuna (Chorwacja),HRK,0.6224,2022-11-16
lej rumuński,RON,0.9545,2022-11-16
lew (Bułgaria),BGN,2.4001,2022-11-16
lira turecka,TRY,0.2421,2022-11-16
nowy izraelski szekel,ILS,1.3195,2022-11-16
peso chilijskie,CLP,0.005079,2022-11-16
peso filipińskie,PHP,0.0786,2022-11-16
peso meksykańskie,MXN,0.2331,2022-11-16
rand (Republika Południowej Afryki),ZAR,0.2615,2022-11-16
real (Brazylia),BRL,0.8447,2022-11-16
ringgit (Malezja),MYR,0.9912,2022-11-16
rupia indonezyjska,IDR,0.00028874,2022-11-16
rupia indyjska,INR,0.055411,2022-11-16
won południowokoreański,KRW,0.003408,2022-11-16
yuan renminbi (Chiny),CNY,0.6362,2022-11-16
SDR (MFW),XDR,5.9376,2022-11-16
bat (Tajlandia),THB,0.1265,2022-11-17
dolar amerykański,USD,4.5387,2022-11-17
dolar australijski,AUD,3.0392,2022-11-17
dolar Hongkongu,HKD,0.5801,2022-11-17
dolar kanadyjski,CAD,3.4006,2022-11-17
dolar nowozelandzki,NZD,2.7789,2022-11-17
dolar singapurski,SGD,3.3024,2022-11-17
euro,EUR,4.7039,2022-11-17
forint (Węgry),HUF,0.011427,2022-11-17
frank szwajcarski,CHF,4.7909,2022-11-17
funt szterling,GBP,5.395,2022-11-17
hrywna (Ukraina),UAH,0.1258,2022-11-17
jen (Japonia),JPY,0.032506,2022-11-17
korona czeska,CZK,0.1931,2022-11-17
korona duńska,DKK,0.6324,2022-11-17
korona islandzka,ISK,0.031591,2022-11-17
korona norweska,NOK,0.4503,2022-11-17
korona szwedzka,SEK,0.4305,2022-11-17
kuna (Chorwacja),HRK,0.6232,2022-11-17
lej rumuński,RON,0.9564,2022-11-17
lew (Bułgaria),BGN,2.405,2022-11-17
lira turecka,TRY,0.2438,2022-11-17
nowy izraelski szekel,ILS,1.3103,2022-11-17
peso chilijskie,CLP,0.004975,2022-11-17
peso filipińskie,PHP,0.0791,2022-11-17
peso meksykańskie,MXN,0.2345,2022-11-17
rand (Republika Południowej Afryki),ZAR,0.2606,2022-11-17
real (Brazylia),BRL,0.8404,2022-11-17
ringgit (Malezja),MYR,0.9967,2022-11-17
rupia indonezyjska,IDR,0.00028978,2022-11-17
rupia indyjska,INR,0.055593,2022-11-17
won południowokoreański,KRW,0.003372,2022-11-17
yuan renminbi (Chiny),CNY,0.6354,2022-11-17
SDR (MFW),XDR,5.9424,2022-11-17
bat (Tajlandia),THB,0.1267,2022-11-18
dolar amerykański,USD,4.5337,2022-11-18
dolar australijski,AUD,3.0434,2022-11-18
dolar Hongkongu,HKD,0.5795,2022-11-18
dolar kanadyjski,CAD,3.3986,2022-11-18
dolar nowozelandzki,NZD,2.7984,2022-11-18
dolar singapurski,SGD,3.3031,2022-11-18
euro,EUR,4.7067,2022-11-18
forint (Węgry),HUF,0.011466,2022-11-18
frank szwajcarski,CHF,4.7675,2022-11-18
funt szterling,GBP,5.4075,2022-11-18
hrywna (Ukraina),UAH,0.1258,2022-11-18
jen (Japonia),JPY,0.032394,2022-11-18
korona czeska,CZK,0.1932,2022-11-18
korona duńska,DKK,0.6328,2022-11-18
korona islandzka,ISK,0.03161,2022-11-18
korona norweska,NOK,0.449,2022-11-18
korona szwedzka,SEK,0.4279,2022-11-18
kuna (Chorwacja),HRK,0.6243,2022-11-18
lej rumuński,RON,0.9532,2022-11-18
lew (Bułgaria),BGN,2.4065,2022-11-18
lira turecka,TRY,0.2435,2022-11-18
nowy izraelski szekel,ILS,1.3119,2022-11-18
peso chilijskie,CLP,0.004919,2022-11-18
peso filipińskie,PHP,0.0791,2022-11-18
peso meksykańskie,MXN,0.2332,2022-11-18
rand (Republika Południowej Afryki),ZAR,0.2614,2022-11-18
real (Brazylia),BRL,0.8359,2022-11-18
ringgit (Malezja),MYR,0.9957,2022-11-18
rupia indonezyjska,IDR,0.000289,2022-11-18
rupia indyjska,INR,0.055493,2022-11-18
won południowokoreański,KRW,0.003391,2022-11-18
yuan renminbi (Chiny),CNY,0.6371,2022-11-18
SDR (MFW),XDR,5.9783,2022-11-18
bat (Tajlandia),THB,0.1269,2022-11-21
dolar amerykański,USD,4.5991,2022-11-21
dolar australijski,AUD,3.0399,2022-11-21
dolar Hongkongu,HKD,0.5894,2022-11-21
dolar kanadyjski,CAD,3.4222,2022-11-21
dolar nowozelandzki,NZD,2.8091,2022-11-21
dolar singapurski,SGD,3.3266,2022-11-21
euro,EUR,4.7035,2022-11-21
forint (Węgry),HUF,0.011458,2022-11-21
frank szwajcarski,CHF,4.7944,2022-11-21
funt szterling,GBP,5.4294,2022-11-21
hrywna (Ukraina),UAH,0.1258,2022-11-21
jen (Japonia),JPY,0.03242,2022-11-21
korona czeska,CZK,0.1931,2022-11-21
korona duńska,DKK,0.6323,2022-11-21
korona islandzka,ISK,0.031588,2022-11-21
korona norweska,NOK,0.4475,2022-11-21
korona szwedzka,SEK,0.428,2022-11-21
kuna (Chorwacja),HRK,0.6235,2022-11-21
lej rumuński,RON,0.9518,2022-11-21
lew (Bułgaria),BGN,2.4048,2022-11-21
lira turecka,TRY,0.247,2022-11-21
nowy izraelski szekel,ILS,1.3263,2022-11-21
peso chilijskie,CLP,0.004883,2022-11-21
peso filipińskie,PHP,0.0801,2022-11-21
peso meksykańskie,MXN,0.2356,2022-11-21
rand (Republika Południowej Afryki),ZAR,0.2637,2022-11-21
real (Brazylia),BRL,0.8543,2022-11-21
ringgit (Malezja),MYR,1.0042,2022-11-21
rupia indonezyjska,IDR,0.0002927,2022-11-21
rupia indyjska,INR,0.056197,2022-11-21
won południowokoreański,KRW,0.003385,2022-11-21
yuan renminbi (Chiny),CNY,0.6416,2022-11-21
SDR (MFW),XDR,5.9552,2022-11-21
bat (Tajlandia),THB,0.127,2022-11-22
dolar amerykański,USD,4.5844,2022-11-22
dolar australijski,AUD,3.0449,2022-11-22
dolar Hongkongu,HKD,0.5868,2022-11-22
dolar kanadyjski,CAD,3.42,2022-11-22
dolar nowozelandzki,NZD,2.8182,2022-11-22
dolar singapurski,SGD,3.3242,2022-11-22
euro,EUR,4.7075,2022-11-22
forint (Węgry),HUF,0.011525,2022-11-22
frank szwajcarski,CHF,4.7977,2022-11-22
funt szterling,GBP,5.4362,2022-11-22
hrywna (Ukraina),UAH,0.1258,2022-11-22
jen (Japonia),JPY,0.032449,2022-11-22
korona czeska,CZK,0.1934,2022-11-22
korona duńska,DKK,0.6329,2022-11-22
korona islandzka,ISK,0.032133,2022-11-22
korona norweska,NOK,0.4495,2022-11-22
korona szwedzka,SEK,0.43,2022-11-22
kuna (Chorwacja),HRK,0.6242,2022-11-22
lej rumuński,RON,0.9538,2022-11-22
lew (Bułgaria),BGN,2.4069,2022-11-22
lira turecka,TRY,0.2461,2022-11-22
nowy izraelski szekel,ILS,1.3195,2022-11-22
peso chilijskie,CLP,0.004866,2022-11-22
peso filipińskie,PHP,0.0799,2022-11-22
peso meksykańskie,MXN,0.2347,2022-11-22
rand (Republika Południowej Afryki),ZAR,0.2656,2022-11-22
