iloœc sprawdzanych dni: 27
iloœæ raportów NBP z tych dni (tylko dni pracuj¹ce): 19

Exchange rates: A, 001/A/NBP/2023, 2023-01-02
    currency:                            code:        value:
 3  dolar australijski                   AUD      3.0183
 4  dolar Hongkongu                      HKD      0.554
 5  dolar kanadyjski                     CAD      3.2417
 6  dolar nowozelandzki                  NZD      2.7666
 7  dolar singapurski                    SGD      3.2741
 8  euro                                 EUR      4.6915
 9  forint (Wêgry)                       HUF      0.011842
10  frank szwajcarski                    CHF      4.66
11  funt szterling                       GBP      5.291
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033661
14  korona czeska                        CZK      0.1953
15  korona duñska                        DKK      0.6306
16  korona islandzka                     ISK      0.030405
17  korona norweska                      NOK      0.4385
18  korona szwedzka                      SEK      0.4161
19  lej rumuñski                         RON      0.9496
20  lew (Bu³garia)                       BGN      2.3987
21  lira turecka                         TRY      0.2303
22  nowy izraelski szekel                ILS      1.2685
23  peso chilijskie                      CLP      0.005286
24  peso filipiñskie                     PHP      0.0789
25  peso meksykañskie                    MXN      0.2298
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2576
27  real (Brazylia)                      BRL      0.847
28  ringgit (Malezja)                    MYR      0.9979
29  rupia indonezyjska                   IDR      0.0002857
30  rupia indyjska                       INR      0.0532
31  won po³udniowokoreañski              KRW      0.003497
32  yuan renminbi (Chiny)                CNY      0.6443
33  SDR (MFW)                            XDR      5.8544
iloœæ walut: 33

Exchange rates: A, 010/A/NBP/2023, 2023-01-16
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1317
 2  dolar amerykañski                    USD      4.3436
 3  dolar australijski                   AUD      3.025
 4  dolar Hongkongu                      HKD      0.5561
 5  dolar kanadyjski                     CAD      3.2429
 6  dolar nowozelandzki                  NZD      2.7772
 7  dolar singapurski                    SGD      3.29
 8  euro                                 EUR      4.7004
 9  forint (Wêgry)                       HUF      0.011779
10  frank szwajcarski                    CHF      4.6959
11  funt szterling                       GBP      5.2998
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033837
14  korona czeska                        CZK      0.1958
15  korona duñska                        DKK      0.6318
16  korona islandzka                     ISK      0.030463
17  korona norweska                      NOK      0.4388
18  korona szwedzka                      SEK      0.4171
19  lej rumuñski                         RON      0.9505
20  lew (Bu³garia)                       BGN      2.4033
21  lira turecka                         TRY      0.2313
22  nowy izraelski szekel                ILS      1.2699
23  peso chilijskie                      CLP      0.005313
24  peso filipiñskie                     PHP      0.0797
25  peso meksykañskie                    MXN      0.2305
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2544
27  real (Brazylia)                      BRL      0.8524
28  ringgit (Malezja)                    MYR      1.0064
29  rupia indonezyjska                   IDR      0.00028871
30  rupia indyjska                       INR      0.053218
31  won po³udniowokoreañski              KRW      0.003512
32  yuan renminbi (Chiny)                CNY      0.6456
33  SDR (MFW)                            XDR      5.861
iloœæ walut: 33

Exchange rates: A, 011/A/NBP/2023, 2023-01-17
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1311
 2  dolar amerykañski                    USD      4.3398
 3  dolar australijski                   AUD      3.0164
 4  dolar Hongkongu                      HKD      0.5551
 5  dolar kanadyjski                     CAD      3.2321
 6  dolar nowozelandzki                  NZD      2.7753
 7  dolar singapurski                    SGD      3.2795
 8  euro                                 EUR      4.6946
 9  forint (Wêgry)                       HUF      0.011763
10  frank szwajcarski                    CHF      4.7005
11  funt szterling                       GBP      5.2992
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033697
14  korona czeska                        CZK      0.1956
15  korona duñska                        DKK      0.6311
16  korona islandzka                     ISK      0.030386
17  korona norweska                      NOK      0.4373
18  korona szwedzka                      SEK      0.4161
19  lej rumuñski                         RON      0.9521
20  lew (Bu³garia)                       BGN      2.4003
21  lira turecka                         TRY      0.231
22  nowy izraelski szekel                ILS      1.2682
23  peso chilijskie                      CLP      0.005275
24  peso filipiñskie                     PHP      0.0792
25  peso meksykañskie                    MXN      0.2311
26  rand (Republika Po³udniowej Afryki)  ZAR      0.2535
27  real (Brazylia)                      BRL      0.843
28  ringgit (Malezja)                    MYR      1.0031
29  rupia indonezyjska                   IDR      0.00028617
30  rupia indyjska                       INR      0.053076
31  won po³udniowokoreañski              KRW      0.003504
32  yuan renminbi (Chiny)                CNY      0.6406
33  SDR (MFW)                            XDR      5.8537
iloœæ walut: 33

Exchange rates: A, 012/A/NBP/2023, 2023-01-18
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1319
 2  dolar amerykañski                    USD      4.3322
 3  dolar australijski                   AUD      3.0435
 4  dolar Hongkongu                      HKD      0.5536
 5  dolar kanadyjski                     CAD      3.2428
 6  dolar nowozelandzki                  NZD      2.8103
 7  dolar singapurski                    SGD      3.2942
 8  euro                                 EUR      4.7091
 9  forint (Wêgry)                       HUF      0.011927
10  frank szwajcarski                    CHF      4.7449
11  funt szterling                       GBP      5.3543
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033479
14  korona czeska                        CZK      0.1964
15  korona duñska                        DKK      0.6331
16  korona islandzka                     ISK      0.03048
17  korona norweska                      NOK      0.4414
18  korona szwedzka                      SEK      0.421
19  lej rumuñski                         RON      0.9545
20  lew (Bu³garia)                       BGN      2.4077
21  lira turecka                         TRY      0.2305
22  nowy izraelski szekel                ILS      1.2825
23  peso chilijskie                      CLP      0.005315
24  peso filipiñskie                     PHP      0.0794
25  peso meksykañskie                    MXN      0.2332
26  rand (Republika Po³udniowej Afryki)  ZAR      0.256
27  real (Brazylia)                      BRL      0.8493
28  ringgit (Malezja)                    MYR      1.0043
29  rupia indonezyjska                   IDR      0.00028714
30  rupia indyjska                       INR      0.053314
31  won po³udniowokoreañski              KRW      0.003515
32  yuan renminbi (Chiny)                CNY      0.6415
33  SDR (MFW)                            XDR      5.8575
iloœæ walut: 33

Exchange rates: A, 013/A/NBP/2023, 2023-01-19
    currency:                            code:        value:
--  -----------------------------------  -------  ----------
 1  bat (Tajlandia)                      THB      0.1316
 2  dolar amerykañski                    USD      4.3469
 3  dolar australijski                   AUD      2.9922
 4  dolar Hongkongu                      HKD      0.555
 5  dolar kanadyjski                     CAD      3.2165
 6  dolar nowozelandzki                  NZD      2.7762
 7  dolar singapurski                    SGD      3.2798
 8  euro                                 EUR      4.7053
 9  forint (Wêgry)                       HUF      0.011902
10  frank szwajcarski                    CHF      4.7437
11  funt szterling                       GBP      5.3625
12  hrywna (Ukraina)                     UAH      0.1258
13  jen (Japonia)                        JPY      0.033873
14  korona czeska                        CZK      0.1965
15  korona duñska                        DKK      0.6324
16  korona islandzka                     ISK      0.030455
17  korona norweska                      NOK      0.4385
18  korona szwedzka                      SEK      0.4238
19  lej rumuñski                         RON      0.9544
20  lew (Bu³garia)                       BGN      2.4058
21  lira turecka                         TRY      0.2312
22  nowy izraelski szekel                ILS      1.281
23  peso chilijskie                      CLP      0.005275
24  peso filipiñskie                     PHP      0.0795
25  peso meksykañskie                    MXN      0.2291
26  rand (Republika Po³udniowej Afryki)  ZAR      0.252
27  real (Brazylia)                      BRL      0.838
28  ringgit (Malezja)                    MYR      1.009
29  rupia indonezyjska                   IDR      0.00028778
